ghi,dni,dhi,air_temp,period_end,period,power,power_p10,power_p90
682,658,175,32,2026-07-09 09:40:00,PT5M,79.665,81.7305,77.5995
695,663,177,32,2026-07-09 09:45:00,PT5M,80.459,82.496,78.422
708,667,178,32,2026-07-09 09:50:00,PT5M,81.218,83.2275,79.2085
720,672,180,33,2026-07-09 09:55:00,PT5M,81.944,83.926,79.962
732,675,181,33,2026-07-09 10:00:00,PT5M,82.637,85.388,79.886
744,679,182,33,2026-07-09 10:05:00,PT5M,83.263,85.978,80.548
755,683,184,33,2026-07-09 10:10:00,PT5M,83.837,86.518,81.156
731,582,239,34,2026-07-09 10:15:00,PT5M,84.381,87.7915,80.9705
741,585,240,34,2026-07-09 10:20:00,PT5M,84.895,87.5095,82.2805
751,589,242,34,2026-07-09 10:25:00,PT5M,85.378,87.9605,82.7955
749,559,260,34,2026-07-09 10:30:00,PT5M,85.833,88.3845,83.2815
758,563,261,34,2026-07-09 10:35:00,PT5M,86.285,88.8065,83.7635
755,534,279,34,2026-07-09 10:40:00,PT5M,86.737,89.2295,84.2445
763,537,281,35,2026-07-09 10:45:00,PT5M,85.723,88.6035,82.8425
770,540,282,35,2026-07-09 10:50:00,PT5M,86.132,88.9805,83.2835
778,543,283,35,2026-07-09 10:55:00,PT5M,86.516,89.3335,83.6985
784,545,284,35,2026-07-09 11:00:00,PT5M,86.868,89.657,84.079
779,516,302,35,2026-07-09 11:05:00,PT5M,87.182,89.944,84.42
785,518,303,35,2026-07-09 11:10:00,PT5M,87.447,90.19,84.704
790,520,304,35,2026-07-09 11:15:00,PT5M,87.708,90.426,84.99
795,522,304,35,2026-07-09 11:20:00,PT5M,87.955,91.3225,84.5875
800,524,305,35,2026-07-09 11:25:00,PT5M,88.172,92.1565,84.1875
804,526,306,35,2026-07-09 11:30:00,PT5M,88.35,94.202,82.498
795,496,323,35,2026-07-09 11:35:00,PT5M,88.452,94.9715,81.9325
796,494,325,36,2026-07-09 11:40:00,PT5M,88.454,96.7335,80.1745
797,492,326,36,2026-07-09 11:45:00,PT5M,88.393,96.9585,79.8275
796,489,328,36,2026-07-09 11:50:00,PT5M,88.268,98.1215,78.4145
795,485,330,36,2026-07-09 11:55:00,PT5M,88.08,99.5685,76.5915
793,480,332,36,2026-07-09 12:00:00,PT5M,87.828,100.0,75.4655
791,474,335,36,2026-07-09 12:05:00,PT5M,87.513,100.0,73.867
