gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
815,920,825,123,36,0.15,38.9,6.2,225,2026-08-20 13:05:00,PT5M,100.0,100.0,100.0,100.0,100.0
810,914,822,124,36,0.15,39.0,6.3,225,2026-08-20 13:10:00,PT5M,100.0,100.0,100.0,98.8842,97.88
803,908,820,124,35,0.15,39.0,6.3,225,2026-08-20 13:15:00,PT5M,100.0,100.0,100.0,99.199,98.478
797,901,818,124,35,0.15,39.1,6.3,225,2026-08-20 13:20:00,PT5M,100.0,100.0,100.0,99.51,99.069
790,893,815,125,35,0.15,39.2,6.4,225,2026-08-20 13:25:00,PT5M,100.0,100.0,100.0,99.049,98.193
782,885,812,125,35,0.15,39.3,6.4,224,2026-08-20 13:30:00,PT5M,100.0,100.0,100.0,98.964,98.0315
774,877,810,125,35,0.15,39.5,6.4,224,2026-08-20 13:35:00,PT5M,100.0,100.0,100.0,98.8771,97.8665
766,868,807,125,35,0.15,39.8,6.4,225,2026-08-20 13:40:00,PT5M,100.0,100.0,100.0,97.6127,95.464
757,859,804,125,35,0.15,40.1,6.4,225,2026-08-20 13:45:00,PT5M,100.0,100.0,100.0,98.294,96.7585
748,849,801,125,35,0.15,40.4,6.4,225,2026-08-20 13:50:00,PT5M,100.0,100.0,100.0,96.5835,93.5085
738,839,798,125,35,0.15,40.7,6.3,225,2026-08-20 13:55:00,PT5M,100.0,100.0,100.0,95.2196,90.917
700,792,687,184,35,0.15,41.0,6.3,225,2026-08-20 14:00:00,PT5M,98.478,100.0,100.0,91.5084,85.2355
690,781,683,183,35,0.15,41.4,6.3,225,2026-08-20 14:05:00,PT5M,98.078,100.0,100.0,90.9265,84.49
662,747,611,218,35,0.15,41.7,6.3,225,2026-08-20 14:10:00,PT5M,94.512,100.0,100.0,81.8756,70.5025
643,724,574,234,34,0.15,42.0,6.2,225,2026-08-20 14:15:00,PT5M,92.426,100.0,100.0,80.1025,69.011
624,702,538,248,34,0.15,42.3,6.2,225,2026-08-20 14:20:00,PT5M,90.268,100.0,100.0,79.0061,68.87
613,690,534,246,34,0.15,42.6,6.2,225,2026-08-20 14:25:00,PT5M,89.701,100.0,100.0,78.1828,67.816
594,667,499,258,34,0.15,43.0,6.2,226,2026-08-20 14:30:00,PT5M,87.427,100.0,98.5352,76.3188,66.321
583,655,494,256,34,0.15,43.3,6.1,226,2026-08-20 14:35:00,PT5M,86.754,100.0,98.1351,75.3729,65.1295
564,632,460,266,34,0.15,43.6,6.1,226,2026-08-20 14:40:00,PT5M,84.348,100.0,96.6936,72.0024,60.891
